-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/30/2014 through 01/30/2024 
Location: Latitude  38.24   Longitude 27.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 254.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR
2014,1,30,2,5.49,77.56,0.0
2014,1,30,3,5.49,77.38,0.0
2014,1,30,4,5.49,76.94,0.0
2014,1,30,5,5.37,75.94,0.0
2014,1,30,6,5.37,80.5,0.0
2014,1,30,7,5.43,88.44,0.0
2014,1,30,8,6.16,87.81,0.0
2014,1,30,9,6.29,77.94,0.0
2014,1,30,10,5.98,64.88,0.0
2014,1,30,11,5.68,57.31,0.0
2014,1,30,12,5.43,52.12,0.0
2014,1,30,13,5.19,48.75,0.0
2014,1,30,14,5.0,46.88,0.0
2014,1,30,15,5.19,50.88,0.0
2014,1,30,16,6.35,70.0,0.0
2014,1,30,17,5.37,68.0,0.0
2014,1,30,18,5.37,70.56,0.0
2014,1,30,19,5.31,73.94,0.0
2014,1,30,20,5.13,75.06,0.0
2014,1,30,21,4.94,74.12,0.0
2014,1,30,22,4.82,73.69,0.0
2014,1,30,23,4.82,76.44,0.0
2014,1,31,0,4.7,77.19,0.0
2014,1,31,1,4.52,77.69,0.0
2014,1,31,2,4.33,78.38,0.0
2014,1,31,3,4.21,79.38,0.0
2014,1,31,4,4.09,80.88,0.0
2014,1,31,5,3.97,81.19,0.0
2014,1,31,6,3.97,79.25,0.0
2014,1,31,7,3.97,75.75,0.0
2014,1,31,8,3.91,68.31,0.0
2014,1,31,9,4.09,64.0,0.0
2014,1,31,10,4.39,59.88,0.0
2014,1,31,11,4.58,54.25,0.0
2014,1,31,12,4.64,50.31,0.0
2014,1,31,13,4.88,51.06,0.0
2014,1,31,14,5.0,53.44,0.0
2014,1,31,15,5.25,59.06,0.0
2014,1,31,16,5.98,74.0,0.0
2014,1,31,17,5.13,71.12,0.0
2014,1,31,18,5.0,72.5,0.0
2014,1,31,19,4.76,72.88,0.0
2014,1,31,20,4.52,73.88,0.0
2014,1,31,21,4.27,75.62,0.0
2014,1,31,22,4.15,77.94,0.0
2014,1,31,23,4.03,80.69,0.0
2014,2,1,0,3.85,82.62,0.0
2014,2,1,1,3.66,82.12,0.0
2014,2,1,2,3.54,81.56,0.0
2014,2,1,3,3.36,80.81,0.0
2014,2,1,4,3.23,80.12,0.0
2014,2,1,5,3.17,82.12,0.0
2014,2,1,6,3.11,80.12,0.0
2014,2,1,7,3.11,74.5,0.0
2014,2,1,8,3.17,64.88,0.0
2014,2,1,9,3.48,59.81,0.0
2014,2,1,10,3.85,53.75,0.0
2014,2,1,11,4.03,46.44,0.0
2014,2,1,12,3.97,42.31,0.0
2014,2,1,13,4.03,41.88,0.0
2014,2,1,14,4.39,46.75,0.0
2014,2,1,15,5.19,59.44,0.0
2014,2,1,16,4.33,53.5,0.0
2014,2,1,17,3.91,50.56,0.0
2014,2,1,18,3.97,54.06,0.0
2014,2,1,19,3.97,54.75,0.0
2014,2,1,20,3.97,57.5,0.0
2014,2,1,21,4.21,65.88,0.0
