YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR,PS,WS50M,WD50M
2014,1,30,2,5.49,77.56,0,98.82,1.48,234.04
2014,1,30,3,5.49,77.38,0,98.87,1.16,232.13
2014,1,30,4,5.49,76.94,0,98.92,0.6,236.73
2014,1,30,5,5.37,75.94,0,98.97,0.17,76.61
2014,1,30,6,5.37,80.5,0,99.04,1.13,87.24
2014,1,30,7,5.43,88.44,0,99.11,2.02,94.89
2014,1,30,8,6.16,87.81,0,99.17,2.7,99.84
2014,1,30,9,6.29,77.94,0,99.21,2.28,99.66
2014,1,30,10,5.98,64.88,0,99.27,1.74,100.1
2014,1,30,11,5.68,57.31,0,99.29,1.53,95.27
2014,1,30,12,5.43,52.12,0,99.25,1.61,75.69
2014,1,30,13,5.19,48.75,0,99.22,1.67,61.52
2014,1,30,14,5,46.88,0,99.27,1.36,38.92
2014,1,30,15,5.19,50.88,0,99.29,1.9,29.51
2014,1,30,16,6.35,70,0,99.31,2.44,34.71
2014,1,30,17,5.37,68,0,99.33,2.89,42.59
2014,1,30,18,5.37,70.56,0,99.37,3.11,49.07
2014,1,30,19,5.31,73.94,0,99.38,3.7,54.03
2014,1,30,20,5.13,75.06,0,99.34,4.24,62.59
2014,1,30,21,4.94,74.12,0,99.34,3.94,64.91
2014,1,30,22,4.82,73.69,0,99.39,3.53,62.47
2014,1,30,23,4.82,76.44,0,99.36,4.2,58.76
2014,1,31,0,4.7,77.19,0,99.33,4.43,59.28
2014,1,31,1,4.52,77.69,0,99.29,4.83,62.23
2014,1,31,2,4.33,78.38,0,99.28,4.83,60.86
2014,1,31,3,4.21,79.38,0,99.27,5.16,61.88
2014,1,31,4,4.09,80.88,0,99.27,5.41,65.69
2014,1,31,5,3.97,81.19,0,99.28,5.93,69.25
2014,1,31,6,3.97,79.25,0,99.29,6.37,73.7
2014,1,31,7,3.97,75.75,0,99.33,6.15,76.56
2014,1,31,8,3.91,68.31,0,99.37,5.15,78.35
